,機車等級,使用頻率,使用距離
589,Y,U,less_40
590,Y,U,less_40
591,N,U,less_15
592,N,U,less_15
593,N,U,less_40
594,N,,
595,N,U,less_5
596,N,F,less_15
597,S,U,less_15
598,R,F,higher_40
599,S,U,less_5
600,R,F,less_40
601,N,U,less_15
602,N,F,less_5
603,N,U,less_40
604,N,U,less_15
605,N,U,less_5
606,N,U,
607,Y,F,higher_40
608,N,U,less_40
609,N,U,less_15
610,N,F,less_5
611,N,U,higher_40
612,Y,U,higher_40
613,N,U,less_40
614,N,U,less_15
615,N,U,
616,N,U,less_15
617,N,U,less_5
618,N,U,less_5
619,N,U,less_5
620,N,U,less_40
621,N,U,less_40
622,N,U,less_40
623,N,,
624,N,U,less_40
625,N,U,higher_40
626,Y,U,less_40
627,N,U,less_40
628,N,U,less_40
629,Y,U,less_40
630,N,U,less_5
631,Y,U,less_40
632,N,U,less_40
633,N,U,less_15
634,N,U,less_40
635,N,U,less_40
636,N,U,less_40
637,N,U,less_15
638,N,U,less_5
639,N,U,less_5
640,N,U,less_15
641,N,U,less_15
642,N,U,less_40
643,N,U,less_5
644,N,U,less_5
645,N,U,less_5
646,N,U,less_15
647,N,F,less_5
648,N,F,less_5
649,N,U,less_15
650,N,U,less_5
651,N,U,less_15
652,N,U,less_15
653,N,U,less_5
654,N,U,less_15
655,N,U,higher_40
656,N,U,less_40
657,N,U,less_40
658,N,U,less_15
659,N,U,less_5
660,N,U,less_5
661,N,U,less_15
662,S,U,less_15
663,S,F,less_5
664,S,U,
665,S,U,less_15
666,S,U,less_40
667,S,U,less_15
668,N,U,less_40
669,N,U,less_5
670,Y,U,less_40
671,Y,U,less_40
672,Y,F,less_40
673,Y,U,less_40
674,Y,U,less_40
675,Y,U,higher_40
676,Y,U,less_40
677,Y,F,less_40
678,R,F,higher_40
679,N,U,less_5
680,R,F,higher_40
681,S,F,less_5
682,R,U,less_40
683,R,U,less_40
684,S,U,less_40
685,,F,higher_40
686,R,U,less_40
687,S,U,less_5
688,N,U,less_5
689,N,U,less_5
690,N,U,less_40
691,N,U,less_40
692,N,U,less_40
693,N,U,less_5
694,N,U,less_5
695,N,U,less_40
696,N,U,less_5
697,Y,U,less_40
698,N,U,less_15
699,N,U,less_5
700,N,U,less_40
701,N,U,less_15
702,N,F,less_40
703,N,U,less_40
704,N,F,less_15
705,N,F,less_40
706,N,U,less_40
707,N,U,less_15
708,N,U,less_40
709,N,F,higher_40
710,N,U,less_40
711,N,U,less_40
712,N,U,less_5
713,N,U,less_5
714,N,U,less_40
715,N,U,less_5
716,N,U,less_15
717,N,U,less_40
718,N,U,less_5
719,S,U,
720,Y,F,less_40
721,N,,
722,N,U,less_5
723,N,F,less_5
724,N,U,less_40
725,N,U,less_40
726,N,U,less_15
727,N,U,less_5
728,Y,U,less_40
729,N,F,less_5
730,N,F,less_5
731,R,F,less_5
732,R,F,higher_40
733,R,F,less_15
734,,F,higher_40
735,N,U,less_40
736,N,U,less_40
737,N,U,less_40
738,N,F,less_40
739,N,U,less_5
740,N,U,less_15
741,N,U,less_5
742,N,U,less_5
743,N,U,less_15
744,R,F,higher_40
745,N,F,less_5
746,N,U,less_40
747,N,U,less_5
748,N,U,less_5
749,N,U,less_15
750,N,U,less_40
751,N,U,less_40
752,N,F,less_15
753,N,U,less_5
754,N,F,less_5
755,N,U,less_5
756,N,F,less_15
757,S,U,less_40
758,S,U,less_40
759,S,U,less_15
760,S,U,less_5
761,R,F,less_40
762,S,U,less_15
763,S,U,less_5
764,R,F,higher_40
765,N,U,less_15
766,R,U,less_40
767,N,F,less_40
768,Y,F,higher_40
769,Y,U,less_40
770,Y,U,higher_40
771,Y,U,
772,Y,F,higher_40
773,Y,U,less_40
774,Y,U,higher_40
775,Y,U,less_40
776,R,U,less_5
777,,F,higher_40
778,R,F,higher_40
779,R,F,higher_40
780,N,U,less_5
781,N,U,less_40
782,N,U,less_40
783,N,U,less_15
784,N,U,less_5
785,N,U,less_5
786,N,U,less_15
787,N,U,less_40
788,Y,,
789,N,U,less_40
790,N,,
791,N,U,less_40
792,N,U,less_15
793,N,U,less_5
794,N,,
795,N,F,less_40
796,N,U,less_40
797,N,F,less_40
798,N,U,less_5
799,N,U,less_15
800,N,U,higher_40
801,N,U,less_40
802,,,
803,N,U,less_40
804,N,U,less_5
805,R,F,higher_40
806,N,U,less_15
807,N,U,less_5
808,N,,
809,N,F,less_15
810,N,U,less_40
811,N,U,less_15
812,N,U,less_5
813,N,U,less_5
814,N,U,less_40
815,N,U,
816,N,F,less_5
817,N,U,less_5
818,N,U,less_40
819,N,U,less_5
820,N,U,less_40
821,N,U,less_15
822,N,U,less_40
823,S,F,less_5
824,S,,
825,S,F,less_5
826,N,U,less_15
827,Y,U,less_40
828,N,U,less_15
829,N,F,less_5
830,N,U,less_15
831,S,F,less_5
832,S,U,
833,N,F,less_15
834,N,U,less_40
835,N,U,higher_40
836,N,U,less_15
837,N,U,less_15
838,S,,
839,N,U,less_15
840,N,U,less_40
841,N,F,less_15
842,Y,U,less_40
843,N,U,less_5
844,N,U,less_40
845,N,U,less_40
846,N,U,less_40
847,N,U,less_15
848,N,U,less_5
849,N,U,less_40
850,N,U,less_5
851,N,U,less_5
852,N,U,less_40
853,Y,U,less_40
854,N,U,less_15
855,N,U,less_40
856,N,U,less_40
857,N,U,less_15
858,N,U,less_15
859,N,U,higher_40
860,Y,U,higher_40
861,N,F,less_5
862,N,U,less_40
863,N,U,less_5
864,N,U,less_40
865,N,,
866,N,U,less_5
867,N,F,less_15
868,R,U,less_40
869,N,U,less_15
870,N,U,less_5
871,N,F,less_5
872,N,U,less_5
873,N,U,less_40
874,N,U,less_40
875,N,U,less_40
876,N,U,less_40
877,N,F,less_5
878,N,F,less_40
879,R,F,higher_40
880,R,U,less_40
881,N,U,less_40
882,N,U,less_15
883,N,U,less_15
884,N,U,higher_40
885,N,U,less_40
886,N,U,less_15
887,R,F,higher_40
888,S,U,less_5
889,S,F,less_40
890,S,F,less_15
891,S,U,less_15
892,S,U,less_15
893,N,U,less_5
894,R,F,less_40
895,N,U,less_15
896,N,U,less_40
897,Y,U,less_40
898,Y,U,less_15
899,Y,U,less_40
900,Y,U,less_15
901,Y,U,less_40
902,Y,F,less_5
903,Y,U,less_40
904,Y,U,less_40
905,N,U,less_15
906,N,U,less_40
907,R,F,higher_40
908,N,,
909,S,U,less_5
910,S,U,
911,R,F,higher_40
912,N,,
913,R,F,higher_40
914,S,F,less_40
915,N,U,
916,N,U,less_40
917,N,U,less_40
918,N,U,less_5
919,N,U,less_15
920,N,U,less_40
921,N,U,less_40
922,N,U,less_15
923,N,U,less_40
924,N,U,less_15
925,N,F,less_5
926,N,U,less_5
927,R,U,less_40
928,N,U,less_5
929,N,U,less_5
930,N,U,
931,N,U,less_5
932,N,U,less_5
933,N,U,less_5
934,N,U,
935,S,U,less_40
936,N,,
937,N,U,less_5
938,N,U,less_40
939,N,U,less_5
940,N,U,less_5
941,N,F,
942,S,U,less_40
943,S,U,less_40
944,S,U,less_15
945,S,U,less_5
946,S,U,less_5
947,S,U,less_40
948,N,U,less_5
949,N,U,less_15
950,S,F,less_5
951,N,U,less_15
952,N,F,less_15
953,N,U,less_15
954,S,U,less_5
955,S,U,less_5
956,S,U,less_15
957,S,U,less_15
958,N,U,less_5
959,N,U,less_40
960,N,U,less_15
961,N,U,
962,N,U,less_40
963,Y,U,less_40
964,N,U,less_15
965,N,U,less_15
966,Y,F,higher_40
967,N,U,less_40
968,N,U,less_15
969,N,U,less_40
970,N,U,less_5
971,N,U,less_15
972,N,U,less_40
973,N,F,less_40
974,N,U,less_40
975,N,U,less_40
976,N,U,less_40
977,Y,U,less_40
978,Y,U,higher_40
979,N,F,less_15
980,N,U,less_40
981,N,U,less_40
982,N,U,less_15
983,N,U,less_15
984,N,U,less_40
985,N,U,less_40
986,N,U,less_5
987,N,,
988,N,U,less_5
989,N,U,less_40
990,N,U,less_40
991,N,U,higher_40
992,N,U,less_5
993,N,U,less_40
994,N,U,less_40
995,N,U,less_5
996,N,U,less_15
997,N,U,less_40
998,N,U,less_5
999,Y,F,higher_40
1000,N,U,
1001,N,F,higher_40
1002,N,U,less_15
1003,N,U,higher_40
1004,N,U,less_5
1005,N,U,less_5
1006,R,F,less_15
1007,N,U,less_15
1008,N,U,less_15
1009,N,U,less_5
1010,N,U,less_15
1011,N,U,less_15
1012,N,,
1013,N,U,less_5
1014,N,U,
1015,N,U,less_5
1016,N,U,less_15
1017,R,F,higher_40
1018,N,U,less_15
1019,N,U,less_5
1020,Y,U,less_40
1021,N,F,less_15
1022,N,U,less_40
1023,N,U,
1024,R,F,higher_40
1025,N,U,less_5
1026,N,U,less_5
1027,N,U,less_40
1028,N,U,less_40
1029,N,U,higher_40
1030,N,U,less_5
1031,N,U,less_15
1032,N,U,less_40
1033,S,F,less_15
1034,S,U,less_40
1035,S,,
1036,N,U,less_5
1037,N,U,less_15
1038,N,U,less_5
1039,N,U,less_5
1040,N,U,less_5
1041,N,,
1042,N,F,less_5
1043,N,U,less_5
1044,N,U,less_40
1045,N,U,less_15
1046,N,U,less_5
1047,N,F,less_5
1048,N,U,less_40
1049,N,F,less_40
1050,N,F,less_15
1051,N,U,less_5
1052,N,F,less_5
1053,N,U,less_5
1054,N,U,less_5
1055,N,,
1056,N,U,less_5
1057,N,U,less_5
1058,N,,
1059,N,U,less_15
1060,N,U,less_15
1061,N,F,less_15
1062,N,U,less_5
1063,N,U,less_15
1064,N,U,less_5
1065,N,U,less_15
1066,N,U,less_40
1067,N,U,less_40
1068,N,U,less_5
1069,N,U,less_5
1070,N,U,less_5
1071,N,F,less_15
1072,S,U,less_5
1073,S,U,less_5
1074,S,U,less_5
1075,S,U,less_15
1076,S,U,less_40
1077,S,U,less_5
1078,S,F,less_5
1079,S,U,less_5
1080,S,U,less_15
1081,S,U,less_40
1082,S,U,less_5
1083,S,U,
1084,S,U,less_5
1085,N,U,less_15
1086,N,U,less_40
1087,N,U,less_40
1088,N,U,less_40
1089,N,U,less_15
1090,N,U,less_5
1091,N,U,less_40
1092,N,U,less_5
1093,N,U,
1094,N,U,less_40
1095,N,U,less_5
1096,S,U,less_40
1097,S,,
1098,S,U,
1099,N,U,less_15
1100,N,U,less_5
1101,N,U,less_15
1102,N,U,less_5
1103,N,U,less_5
1104,S,,
1105,S,,
1106,S,F,less_5
1107,S,U,less_15
1108,N,F,less_15
1109,N,U,less_5
1110,N,F,less_5
1111,N,U,less_5
1112,N,U,less_15
1113,N,U,less_5
1114,N,U,higher_40
1115,N,U,less_15
1116,N,U,less_15
1117,N,U,less_15
1118,N,U,less_40
1119,N,F,less_5
1120,N,U,higher_40
1121,N,U,less_15
1122,N,U,less_40
1123,N,U,less_15
1124,N,U,less_5
1125,N,U,less_15
1126,N,U,less_40
1127,N,U,less_15
1128,N,U,less_5
1129,N,U,less_5
1130,N,U,less_40
1131,N,U,less_40
1132,N,U,less_40
1133,N,U,less_40
1134,N,U,less_40
1135,R,U,less_15
1136,N,U,less_40
1137,N,U,less_15
1138,R,F,less_40
1139,N,U,
1140,N,U,less_40
1141,N,U,less_15
1142,N,U,less_40
1143,N,U,less_15
1144,N,U,less_40
1145,R,U,less_40
1146,N,U,less_5
1147,N,F,less_5
1148,S,U,less_15
1149,N,U,less_5
1150,N,U,less_40
1151,N,U,less_40
1152,N,U,less_15
1153,N,U,less_40
1154,N,F,
1155,N,U,less_5
1156,N,U,less_5
1157,N,U,less_40
1158,N,U,less_40
1159,N,U,less_40
1160,N,U,less_40
1161,N,U,less_15
1162,N,U,less_5
1163,N,U,less_15
1164,N,U,less_40
1165,N,U,less_5
1166,N,U,less_5
1167,N,U,less_40
1168,N,U,less_40
1169,N,U,less_40
1170,N,U,less_5
1171,N,U,less_15
1172,S,U,less_5
1173,S,U,less_5
1174,S,U,less_5
1175,S,U,less_15
1176,S,U,less_15
1177,S,U,less_15
1178,S,U,less_5
1179,S,U,less_5
1180,S,U,less_5
1181,S,U,less_5
1182,S,U,less_5
1183,S,U,less_15
1184,N,U,less_40
1185,N,U,less_5
1186,N,U,less_5
1187,N,U,less_5
1188,Y,F,less_40
1189,N,U,less_15
1190,N,U,less_5
1191,N,,
1192,N,U,less_5
1193,N,U,less_5
1194,N,U,less_40
1195,N,U,less_15
1196,S,U,less_5
1197,N,U,less_15
1198,N,U,less_15
1199,N,U,less_5
1200,N,U,less_5
1201,N,U,less_40
1202,Y,F,less_40
1203,N,U,less_40
1204,N,F,less_15
1205,N,U,less_40
1206,N,F,less_5
1207,N,U,less_40
1208,N,U,less_5
1209,N,F,less_5
1210,N,F,less_15
1211,Y,F,higher_40
1212,N,U,less_15
1213,N,U,less_40
1214,N,F,less_5
1215,N,U,less_15
1216,N,U,less_15
1217,S,U,less_5
1218,N,F,less_40
1219,N,U,less_5
1220,N,U,less_5
1221,N,U,less_15
1222,N,U,less_5
1223,N,U,less_40
1224,N,U,less_40
1225,N,U,less_40
1226,N,U,less_40
1227,N,U,less_5
1228,N,U,less_40
1229,N,U,higher_40
1230,N,U,less_40
1231,N,U,less_40
1232,N,U,less_5
1233,N,U,less_40
1234,N,U,less_5
1235,N,U,less_5
1236,N,F,less_5
1237,N,U,less_15
1238,N,U,
1239,N,U,
1240,N,U,less_5
1241,Y,U,less_15
1242,N,U,less_40
1243,Y,U,higher_40
1244,N,F,less_5
1245,N,U,less_40
1246,N,U,less_15
1247,N,U,less_5
1248,R,U,less_5
1249,N,F,less_15
1250,S,F,less_5
1251,S,,
1252,S,U,less_15
1253,S,U,less_15
1254,S,U,less_40
1255,S,U,less_15
1256,N,U,less_5
1257,N,U,less_15
1258,N,U,less_40
1259,N,U,less_5
1260,N,U,less_5
1261,N,U,less_5
1262,N,U,less_5
1263,N,U,less_15
1264,N,F,
1265,N,F,less_5
1266,N,U,less_5
1267,N,U,less_40
1268,N,U,less_15
1269,N,U,less_40
1270,N,U,less_40
1271,N,U,less_40
1272,N,U,less_15
1273,N,U,less_15
1274,N,U,less_15
1275,N,U,less_40
1276,S,U,less_5
1277,S,F,less_5
1278,S,U,less_5
1279,S,U,less_5
1280,S,F,less_15
1281,S,U,less_5
1282,S,U,less_5
1283,S,F,less_5
1284,S,U,less_5
1285,S,U,less_5
1286,S,U,less_40
1287,N,U,less_15
1288,N,U,less_5
1289,S,U,less_15
1290,N,U,less_40
1291,N,U,less_40
1292,N,U,less_5
1293,N,U,less_5
1294,N,U,
1295,N,U,less_5
1296,N,U,less_15
1297,Y,F,higher_40
1298,N,U,less_15
1299,N,U,less_15
1300,N,U,less_5
1301,N,U,less_15
1302,Y,U,less_40
1303,N,U,less_5
1304,N,U,less_5
1305,N,U,less_40
1306,N,U,less_15
1307,N,U,less_5
1308,N,U,less_5
1309,N,U,less_5
1310,N,U,less_40
1311,N,U,less_5
1312,N,U,less_15
1313,N,,
1314,N,F,higher_40
1315,N,F,less_5
1316,N,U,less_5
1317,N,F,less_15
1318,N,U,less_15
1319,N,U,less_15
1320,N,U,less_5
1321,N,U,less_40
1322,N,U,less_15
1323,N,U,less_5
1324,N,U,less_40
1325,N,U,less_5
1326,N,U,less_40
1327,N,U,less_15
1328,N,U,less_15
1329,N,U,less_15
1330,N,U,less_5
1331,N,U,less_40
1332,N,U,less_40
1333,N,U,less_40
1334,N,U,less_15
1335,N,U,less_5
1336,N,U,less_40
1337,N,U,less_40
1338,N,U,less_15
1339,N,,
1340,N,U,less_15
1341,N,U,less_15
1342,N,U,less_5
1343,N,F,less_40
1344,N,U,
1345,N,U,less_40
1346,N,U,less_5
1347,N,U,less_40
1348,N,U,less_15
1349,N,U,less_15
1350,N,U,less_40
1351,Y,F,less_40
1352,N,U,less_40
1353,N,F,
1354,N,U,less_40
1355,N,U,less_15
1356,N,F,less_40
1357,N,U,less_40
1358,N,U,less_5
1359,N,,
1360,N,U,less_40
1361,N,U,less_40
1362,N,F,less_40
1363,N,U,less_5
1364,N,U,less_40
1365,R,,
1366,R,U,higher_40
1367,R,F,higher_40
